age,job,marital,default,housing,loan,contact,month,day_of_week,duration,campaign,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed
27,2,1,0,1,1,0,2,0,198,5,0,1.4,93.918,-42.7,4.962,5228.1
25,4,1,0,1,0,0,0,2,104,2,0,1.1,93.994,-36.4,4.857,5191.0
44,3,0,0,2,2,1,8,0,308,1,1,-1.8,93.075,-47.1,1.405,5099.1
27,1,0,0,0,0,1,0,1,142,2,1,-1.8,92.893,-46.2,1.291,5099.1
28,2,1,0,0,0,1,2,3,727,2,0,1.4,93.918,-42.7,4.968,5228.1
37,4,0,0,1,1,1,0,4,239,1,0,-1.8,92.893,-46.2,1.259,5099.1
40,4,1,0,1,0,1,0,4,320,1,0,-1.8,92.893,-46.2,1.259,5099.1
33,0,0,0,1,0,1,3,3,110,1,0,1.4,93.444,-36.1,4.964,5228.1
34,2,1,0,0,0,0,1,1,35,32,0,1.4,94.465,-41.8,4.864,5228.1
42,3,0,1,0,0,0,1,2,138,1,0,1.4,94.465,-41.8,4.959,5228.1
59,8,0,0,1,0,1,3,2,160,3,0,1.4,93.444,-36.1,4.965,5228.1
31,8,0,0,0,0,1,3,1,201,2,0,1.4,93.444,-36.1,4.966,5228.1
43,4,1,1,0,0,1,2,2,528,9,0,1.4,93.918,-42.7,4.957,5228.1
50,2,0,0,0,0,0,1,1,58,1,0,1.4,94.465,-41.8,4.864,5228.1
44,1,1,0,0,0,1,0,4,318,1,1,-1.8,92.893,-46.2,1.313,5099.1
32,4,1,0,1,0,1,2,4,42,2,0,1.4,93.918,-42.7,4.963,5228.1
34,1,2,0,1,1,0,0,3,293,2,0,1.1,93.994,-36.4,4.86,5191.0
43,3,0,0,1,0,1,8,4,372,1,1,-1.8,93.075,-47.1,1.405,5099.1
32,2,0,0,1,0,1,0,0,262,2,1,-1.8,92.893,-46.2,1.299,5099.1
37,4,1,0,1,0,0,0,1,749,2,0,1.1,93.994,-36.4,4.857,5191.0
47,6,0,0,0,0,1,3,1,175,1,0,1.4,93.444,-36.1,4.968,5228.1
55,3,0,1,0,0,0,0,2,1581,2,0,1.1,93.994,-36.4,4.856,5191.0
46,2,0,0,0,0,1,2,0,76,10,0,1.4,93.918,-42.7,4.962,5228.1
31,2,1,0,1,0,1,8,0,10,3,0,-1.8,93.075,-47.1,1.405,5099.1
53,2,0,0,1,0,1,0,4,45,1,0,-1.8,92.893,-46.2,1.25,5099.1
25,2,0,0,0,0,0,1,0,121,4,0,1.4,94.465,-41.8,4.865,5228.1
34,4,1,0,0,0,1,3,4,72,4,0,1.4,93.444,-36.1,4.966,5228.1
36,4,0,1,1,0,1,3,4,314,2,0,1.4,93.444,-36.1,4.964,5228.1
26,2,0,0,0,0,1,8,0,190,1,0,-1.8,93.075,-47.1,1.466,5099.1
33,4,0,0,1,0,1,0,0,638,2,0,-1.8,92.893,-46.2,1.244,5099.1
49,2,0,1,0,0,0,0,4,208,3,0,1.1,93.994,-36.4,4.855,5191.0
52,5,0,0,0,0,1,2,0,445,1,0,1.4,93.918,-42.7,4.96,5228.1
47,2,0,0,1,0,0,0,2,385,1,0,1.1,93.994,-36.4,4.857,5191.0
53,4,0,0,1,0,1,3,1,105,1,0,1.4,93.444,-36.1,4.968,5228.1
38,3,0,0,1,0,0,0,3,403,2,0,1.1,93.994,-36.4,4.855,5191.0
46,3,0,1,0,0,0,0,1,426,2,0,1.1,93.994,-36.4,4.857,5191.0
51,1,0,0,1,0,0,0,0,117,1,0,1.1,93.994,-36.4,4.857,5191.0
42,10,0,0,1,0,1,2,3,576,7,0,1.4,93.918,-42.7,4.968,5228.1
29,2,0,0,0,1,0,0,2,376,3,0,1.1,93.994,-36.4,4.857,5191.0
49,4,0,0,0,0,1,2,2,244,1,0,1.4,93.918,-42.7,4.963,5228.1
57,8,0,1,0,0,1,3,0,102,3,0,1.4,93.444,-36.1,4.965,5228.1
60,2,2,1,1,0,1,0,4,99,1,1,-1.8,92.893,-46.2,1.25,5099.1
31,2,0,1,1,1,0,0,0,157,5,0,1.1,93.994,-36.4,4.857,5191.0
29,7,0,0,1,1,1,0,4,298,1,0,-1.8,92.893,-46.2,1.25,5099.1
41,3,0,1,0,0,0,1,3,89,1,0,1.4,94.465,-41.8,4.866,5228.1
29,1,1,0,1,0,1,5,4,43,1,0,-0.1,93.2,-42.0,4.021,5195.8
48,3,0,1,0,0,1,3,3,106,2,0,1.4,93.444,-36.1,4.968,5228.1
36,2,0,0,0,0,1,2,0,58,11,0,1.4,93.918,-42.7,4.962,5228.1
32,3,0,0,1,1,1,8,4,205,2,1,-1.8,93.075,-47.1,1.479,5099.1
36,4,0,0,1,0,1,0,4,157,4,0,-1.8,92.893,-46.2,1.25,5099.1
44,3,2,1,0,0,1,0,3,877,3,0,-1.8,92.893,-46.2,1.327,5099.1
33,3,2,1,1,1,1,2,2,464,3,0,1.4,93.918,-42.7,4.957,5228.1
41,3,0,0,1,0,1,2,3,5,3,0,1.4,93.918,-42.7,4.968,5228.1
48,1,0,1,0,0,1,2,1,165,1,0,1.4,93.918,-42.7,4.961,5228.1
45,4,0,0,1,0,1,3,1,42,1,0,1.4,93.444,-36.1,4.963,5228.1
31,4,1,0,1,0,1,3,2,449,3,0,1.4,93.444,-36.1,4.965,5228.1
34,6,0,0,0,0,1,3,3,233,1,0,-2.9,92.201,-31.4,0.873,5076.2
33,2,0,0,0,0,1,2,4,384,1,0,1.4,93.918,-42.7,4.957,5228.1
29,1,1,0,0,0,1,1,2,725,2,1,-2.9,92.963,-40.8,1.26,5076.2
27,3,1,1,1,0,1,2,2,1309,4,0,1.4,93.918,-42.7,4.963,5228.1
46,2,1,0,0,1,1,0,0,83,5,0,-1.8,92.893,-46.2,1.354,5099.1
56,10,0,0,1,0,1,8,3,266,1,0,-1.8,93.075,-47.1,1.365,5099.1
36,4,0,0,0,0,1,5,3,70,1,1,-0.1,93.2,-42.0,4.076,5195.8
46,3,0,1,1,0,0,0,3,114,9,0,1.1,93.994,-36.4,4.86,5191.0
60,3,0,1,1,0,1,0,0,26,5,0,-1.8,92.893,-46.2,1.354,5099.1
37,2,2,0,1,0,0,1,0,82,3,0,1.4,94.465,-41.8,4.865,5228.1
32,1,0,1,1,0,1,0,0,126,1,0,-1.8,92.893,-46.2,1.244,5099.1
50,4,0,0,0,0,1,3,2,467,1,0,1.4,93.444,-36.1,4.967,5228.1
51,4,0,1,0,0,1,2,0,116,3,0,1.4,93.918,-42.7,4.962,5228.1
36,3,0,0,0,0,1,3,0,153,2,1,-2.9,92.201,-31.4,0.884,5076.2
60,2,0,0,0,0,0,1,2,1574,3,0,1.4,94.465,-41.8,4.962,5228.1
41,3,0,0,0,0,0,0,1,73,2,0,1.1,93.994,-36.4,4.857,5191.0
20,1,1,0,0,0,0,2,1,97,15,0,1.4,93.918,-42.7,4.961,5228.1
53,8,0,0,0,1,0,0,1,202,1,0,1.1,93.994,-36.4,4.857,5191.0
50,0,0,1,1,0,0,0,1,176,2,0,1.1,93.994,-36.4,4.857,5191.0
36,8,0,0,1,1,1,5,3,151,3,0,-0.1,93.2,-42.0,4.076,5195.8
40,1,0,1,0,0,0,0,0,199,3,0,1.1,93.994,-36.4,4.857,5191.0
58,10,0,0,0,0,1,2,2,101,1,0,1.4,93.918,-42.7,4.963,5228.1
38,2,1,1,1,0,0,1,2,247,5,0,1.4,94.465,-41.8,4.962,5228.1
28,11,1,0,0,0,1,3,4,36,2,0,-2.9,92.201,-31.4,0.825,5076.2
